Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A445243,RETURN,03/11/2025,MAGIC,DOG,7 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A445243&location=MONT,
A526843,OWNER SUR,12/24/2024,*BUMBLEBEE,DOG,1 YEAR,MED,TRI/BLACK,ROTTWEILER / AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526843&location=MONT,
A528461,OWNER SUR,02/22/2025,BLU,DOG,1 YEAR 9 MONTHS,LARGE,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528461&location=MONT,
A530187,OWNER SUR,04/19/2025,COCO,DOG,14 YEARS,MED,BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530187&location=MONT,
A530009,OWNER SUR,04/14/2025,*DRAX,DOG,3 YEARS,LARGE,BROWN / BLACK,ENG COONHOUND,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530009&location=MONT,
A527477,RETURN,03/17/2025,MILO,DOG,1 YEAR 3 MONTHS,MED,BROWN / WHITE,LABRADOR RETR / GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527477&location=MONT,
A529496,OWNER SUR,03/27/2025,*DREW,CAT,4 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529496&location=MONT,
A412829,EUTH REQ,04/10/2025,RYLIE,DOG,13 YEARS,MED,TAN / WHITE,BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A412829&location=MONT,
A529592,EUTH REQ,03/30/2025,ARIANA,DOG,7 MONTHS,SMALL,BROWN / BLACK,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529592&location=MONT,
A512748,FOSTER,03/10/2025,MISSY,DOG,2 YEARS,LARGE,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A512748&location=MONT,
A508644,FOSTER,03/29/2025,JULIET,DOG,2 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508644&location=MONT,
A528428,OWNER SUR,04/13/2025,MARY KATE,DOG,1 YEAR 2 MONTHS,MED,BLACK / WHITE,SIBERIAN HUSKY,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528428&location=MONT,
A530496,EUTH REQ,04/27/2025,BIRD 3,BIRD,NO AGE,SMALL,YELLOW,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530496&location=MONT,
A530256,OWNER SUR,04/21/2025,COSMO,DOG,1 YEAR,LARGE,BLACK,LABRADOR RETR / AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530256&location=MONT,
A530530,OWNER SUR,04/28/2025,THEODORE,OTHER,10 MONTHS,LARGE,BLACK / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530530&location=MONT,
A529820,OWNER SUR,04/07/2025,COTTON,CAT,1 YEAR,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529820&location=MONT,
A529983,OWNER SUR,04/13/2025,MILA,CAT,6 YEARS,MED,GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529983&location=MONT,
A530452,OWNER SUR,04/26/2025,EASTERN MOLE,CAT,10 MONTHS,MED,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530452&location=MONT,
A529483,OWNER SUR,03/27/2025,CHESTER,CAT,5 YEARS,MED,GRAY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529483&location=MONT,
A517695,RETURN,04/06/2025,SPOTS,DOG,4 YEARS,LARGE,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517695&location=MONT,
A530575,OWNER SUR,04/29/2025,*DALIA,OTHER,1 YEAR,SMALL,WHITE / BLACK,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530575&location=MONT,
A479277,OWNER SUR,04/26/2025,*WRIGHT,CAT,4 YEARS,LARGE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A479277&location=MONT,
A529819,RETURN,04/26/2025,Q-TIP,CAT,1 YEAR,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529819&location=MONT,
A529306,OWNER SUR,03/23/2025,SETH,CAT,2 YEARS,MED,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529306&location=MONT,
A520069,OWNER SUR,04/25/2025,VERO,CAT,1 YEAR,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520069&location=MONT,
A530492,OWNER SUR,04/27/2025,MEADOW VOLE,CAT,4 YEARS,MED,BRN TORBI,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530492&location=MONT,
A515409,OWNER SUR,04/29/2025,GIBBS,DOG,5 YEARS,LARGE,TAN,LABRADOR RETR / CHOW CHOW,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515409&location=MONT,
A529794,STRAY,04/06/2025,*ROGER,OTHER,1 YEAR,SMALL,WHITE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529794&location=MONT,"14200 GEORGIA AVE, SILVER SPRING MD 20906"
A529897,STRAY,04/09/2025,*SCARLET,DOG,7 MONTHS,MED,CHOCOLATE,LABRADOR RETR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529897&location=MONT,"21500 BLUNT RD, GERMANTOWN MD 20876"
A529288,STRAY,03/22/2025,*MARSHALL,CAT,2 YEARS,MED,GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529288&location=MONT,"10900 GEORGIA AVE, SILVER SPRING MD 20902"
A530249,STRAY,04/21/2025,*SUNSHINE,DOG,2 YEARS,LARGE,BROWN / SABLE,GERM SHEPHERD,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530249&location=MONT,"CALDWELL ST & PARKLAND DR ASPEN HILL, MD 20853"
A528549,STRAY,02/25/2025,*OFFSET,DOG,7 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528549&location=MONT,"6700 WISCONSIN AVE, CHEVY CHASE MD 20815"
A527456,CONFISCATE,01/17/2025,*MASU,DOG,3 YEARS,MED,BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527456&location=MONT,
A446044,OWNER SUR,03/21/2025,PENNY,DOG,8 YEARS,MED,FAWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A446044&location=MONT,
A447038,OWNER SUR,04/02/2025,BAILEY,DOG,7 YEARS,MED,GOLD,PIT BULL,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447038&location=MONT,
A526367,FOSTER,04/03/2025,ROSCOE,OTHER,4 YEARS,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526367&location=MONT,
A526368,FOSTER,04/03/2025,CHAOS,OTHER,4 YEARS,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526368&location=MONT,
A529197,BOARDING,03/19/2025,*QUIBBLE,DOG,6 YEARS,MED,TAN / WHITE,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529197&location=MONT,
A526590,OWNER SUR,04/08/2025,AZUL,DOG,1 YEAR 4 MONTHS,LARGE,GRAY,AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526590&location=MONT,
A520093,RETURN,04/11/2025,*IGGY,DOG,1 YEAR 8 MONTHS,MED,CHOCOLATE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520093&location=MONT,
A526795,RETURN,03/11/2025,*AMBASSADOR,DOG,1 YEAR 2 MONTHS,MED,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526795&location=MONT,
A529956,OWNER SUR,04/12/2025,CABO WABO,OTHER,NO AGE,SMALL,BROWN,TURTLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529956&location=MONT,
A529000,RETURN,04/12/2025,KINGFORD,DOG,1 YEAR 4 MONTHS,LARGE,BLUE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529000&location=MONT,
A502797,OWNER SUR,02/25/2025,PIEDMONT,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502797&location=MONT,
A529963,OWNER SUR,04/12/2025,SPANKY,DOG,9 MONTHS,MED,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529963&location=MONT,
A484117,OWNER SUR,03/09/2025,ROCKY,DOG,4 YEARS,MED,BLACK / WHITE,SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A484117&location=MONT,
A526880,RETURN,03/21/2025,MOCHA,CAT,11 YEARS,MED,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526880&location=MONT,
A529980,OWNER SUR,04/13/2025,SQUIRT,DOG,1 YEAR 5 MONTHS,MED,BRINDLE / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529980&location=MONT,
A530185,OWNER SUR,04/19/2025,SQUIRT,OTHER,12 YEARS,MED,GRAY / BLACK,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530185&location=MONT,
